,region,name,2007_area_loss,2008_area_loss,2009_area_loss,2010_area_loss,2015_area_loss,2016_area_loss,2017_area_loss,2018_area_loss,2019_area_loss,2020_area_loss
68,NZL,New Zealand,846.549217711548,1189.0183744418287,1160.446410227683,1233.004629137186,1302.5879150732621,1443.1887889755517,1494.1489379163456,1487.5707005159802,1676.3282923526453,2016.1891039000934
69,NIC,Nicaragua,1534.9981261762878,2195.774077292229,2030.404609004386,1979.1545246757655,2085.2975817550814,2162.072691874082,2170.6142328912583,2126.4115642681973,2828.532377677064,3477.6967620548285
70,NGA,Nigeria,11344.95443868711,16589.29092417862,17244.885213505815,17589.567218930668,19500.120705192174,21634.748931714064,21791.322825410254,21671.99463393815,21909.919235327732,24354.71724082541
71,OMN,Oman,28.958992287263662,42.64101747370813,41.061778038519165,39.70947006984096,37.71550869918258,38.869439818431864,41.84935505497791,40.49509236684255,38.052931562824114,34.39011306719379
72,PAK,Pakistan,8074.167805709956,10652.777380372012,11221.853755772656,12463.885390573178,13391.457564947184,12856.389985941794,11498.283009858696,11072.079556868412,13384.931346878971,19583.690182836803
73,PLW,Palau,20.03628661113691,42.69114539366261,56.12342685384701,47.46565156485259,34.1254490697559,26.122637304348245,18.82048770288806,27.666805220256766,44.93796121599313,51.72333853678286
74,PAN,Panama,1433.2547292470485,2219.6037975497084,2336.531995186583,2573.10384269164,2830.3073359755836,3099.3312194635937,3184.2104082110436,3415.5345983798325,3947.3699297105413,4753.791517625199
75,PNG,Papua New Guinea,3691.4990491938925,5614.5605965894065,6062.629726621176,6878.128678943962,9004.928889387073,10258.921497633206,10763.419843718006,11328.758217777726,12531.350788866515,13699.065090516853
76,PER,Peru,558.6703883682337,801.5073905131927,812.7261826367203,798.9759507973349,846.2342260365264,909.4537564738822,900.8779189794221,843.6428697946097,802.7063563776692,790.5494983847357
77,PHL,Philippines,11815.790120550233,18342.99744352954,19424.386348454136,20083.671960912427,20270.289770047617,20819.69453469893,20994.589114151244,20384.894568171105,20070.297732933366,20617.349358168944
78,PRI,Puerto Rico,127.91750158666359,243.65128290112256,307.1085099583403,326.6631085012575,323.65834450535357,304.02872884039743,282.8237331809654,284.00121859743945,351.86630258978005,484.85583087859607
79,QAT,Qatar,3.2843824313935945,6.18206528702502,6.990921360060417,7.673318438421539,10.403289144219139,10.361730123304117,11.17115739131435,10.745137017672448,11.128744480092962,11.043520507041812
80,COG,Republic of Congo,16.80568678674296,26.59635116334432,27.678714346418094,29.936539142964186,36.43068201295513,40.90160947080547,42.21949888633024,40.85560732007997,37.13834332675193,40.102779229975795
81,KNA,Saint Kitts and Nevis,0.6766850508844353,1.6691545614917418,1.7594072903778963,2.255601227829917,2.6164428742312706,2.6164658429434637,2.887172497936106,2.1654251211570528,1.6240003383938515,1.5788579279300576
82,LCA,Saint Lucia,0.4127710932659837,1.100740808419832,1.3759307334366535,1.5135742642360674,1.4677029027545534,1.8806243841529227,2.385273393850507,1.7431231581177284,1.3761726931582579,1.7431898062663782
83,VCT,Saint Vincent and the Grenadines,1.1056328367466828,1.2438475290607314,1.2901120968005828,1.4740125965940944,1.3819272839781132,1.612412144912203,1.6121583060449869,1.565903119747606,1.381599172076555,1.4741836215967252
84,MAF,Saint-Martin,0.0,0.04492168076282628,0.04492168076282628,0.04492168076282628,0.04492168076282628,0.04492168076282628,0.04492168076282628,0.04492168076282628,0.08984341703895883,0.13476526433971037
85,WSM,Samoa,1.5137153738222289,2.3852662720243543,2.9356534900668563,3.3025417281569505,5.091251046995216,6.054120491115036,6.92529830133017,8.29947739855194,8.299341546489863,8.529156823580315
86,SAU,Saudi Arabia,908.6822463108635,1523.381207030509,1563.7436845318284,1982.809813751882,2468.557188161504,2645.5582072510842,2600.6581843161375,2621.569216057859,2658.2039170151493,2645.7145385959966
87,SEN,Senegal,1448.996482077158,2465.357960288652,2624.6840622753107,2970.9641551805653,3219.4264172477433,3719.398392102421,3813.8104842136345,3774.2324120908756,3449.0171404086477,3744.507959640332
88,SYC,Seychelles,0.18816359293451232,0.18816359293451232,0.1411316434244038,0.47042370909256087,0.9878726762844147,1.6465876491118596,1.6466767483957043,1.3644929327153101,0.9880262228748858,1.035069877771699
89,SLE,Sierra Leone,1686.147260766957,3736.8660065396884,3434.863358438884,3621.7298173220775,3294.340942914861,3734.480273641289,3672.4907391252978,4439.435198153254,6825.932435412797,8685.225851948511
90,SGP,Singapore,56.099301404332145,85.91849240235236,80.25660152063153,75.96272463119624,94.5989502390974,107.05478664547202,116.67989617728367,120.50150421752085,128.05041151296135,132.1080905499703
91,SLB,Solomon Islands,540.0888031945306,901.3304646875499,936.8921210375818,1036.1515327358698,1237.4880179902593,1332.7327022973382,1451.2953517160213,1390.399734370778,1506.7056529145789,1707.9483765764096
92,SOM,Somalia,123.36658978623016,175.3496347581027,181.22231011897924,191.83112824824616,203.42820969816728,206.52822076836514,210.48881873455062,213.64415922479077,235.87802485011335,258.8515120283396
93,ZAF,South Africa,130.33294095488282,184.08605236106,191.28382585066925,193.97574166934652,198.02694329898765,217.1694557500433,214.80853757961808,213.8473774249863,203.0361194785374,210.91826772372514
94,LKA,Sri Lanka,2974.6707645790448,5573.184724732402,6591.370761752655,6922.861205529762,6340.7618282507665,5633.9508557589215,5364.470877498517,5459.83217005066,6172.178571762581,6799.186462154043
95,SDN,Sudan,436.7198010720019,593.2613959840627,629.5906321143284,689.8168236779295,771.7707312337561,812.1445061795705,784.7992619220913,787.9961069652336,831.29674079401,842.836794480467
96,SUR,Suriname,5175.354661433044,6239.463043160615,6419.301634341458,6103.605296637399,5998.252883457657,6164.360307661094,6685.023042039483,6925.590701185133,7342.713392066051,8285.260553150687
97,TWN,Taiwan,11.398784826915922,21.038134960208616,22.839922061519516,22.974420291074352,23.78068003452423,24.817032266356108,25.92441319554756,30.40057676077481,32.61441846830371,31.912278171503655
98,TZA,Tanzania,2311.9115481395975,3720.865515191046,3617.22164409471,3822.140811209228,3976.3455139641665,4346.64362126191,4389.413930535591,4082.0542968664313,4130.899423311361,5203.489568493553
99,THA,Thailand,8601.437500491005,14012.836565667985,14968.106258053767,14851.616185863242,14852.851546072208,14761.858710145236,13983.366148804145,14665.06258517544,14105.900998905609,12495.33374799104
100,TLS,Timor-Leste,31.9130220816498,50.484569687423466,49.78451879275822,53.18937216880741,50.94894218975844,50.80885885741974,52.72329870706704,56.22263801142301,52.302625898281185,50.94828743036945
