,region,name,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain
52,IRN,Iran,174.94939004738407,254.54891785174792,274.08736441676285,281.74831790202495,359.4627250445051,339.0309063808707,345.4250153584579,459.97968506623897,603.0234951104467,581.8944705746408
53,JAM,Jamaica,366.1028903967473,430.89217399917726,409.9174019451058,305.1132376194548,128.77828284674428,76.49608310287218,60.77761303743828,66.75085860273568,81.52880207132472,95.06126530155034
54,JPN,Japan,11.565542489702935,19.94710953002008,22.79275894489247,22.188960080140134,19.51864522493659,17.05415292136334,14.027483084508537,14.961435102225595,21.649866402481315,26.285975146684244
55,KEN,Kenya,611.60522039276,982.4092331222829,1102.9373285696847,1106.8282998731634,1015.7910477716764,941.3959072776045,983.5438802772479,1202.9431325356202,1463.7507601723214,1589.2761480357894
56,LBR,Liberia,339.4395308679707,470.7555752627854,501.47690902178687,515.301323340909,502.1159168998067,495.42864483698816,507.8043965092651,504.34493352386033,490.23760693253917,469.9841513403921
57,MDG,Madagascar,3143.946781670962,4032.6204270810663,4265.255509170021,4420.0050222200025,5007.523938923354,5398.873159248897,5830.44539028008,6354.710762410271,6795.5421724723265,7077.479786782959
58,MYS,Malaysia,4580.352033605018,6417.126116989224,6924.524610688358,7103.244161046879,7575.601384385673,7806.0971239601095,8260.219279832052,9103.376649453614,10044.947741194155,10179.151990164162
59,MTQ,Martinique,15.741654787790234,34.02684163276245,41.23750771484211,37.8911902257762,35.723263049056655,24.45951406631599,26.155623369815444,30.8678973215211,48.63272401422303,56.6439526172853
60,MRT,Mauritania,18.139086070136038,23.285639727696864,23.569519058224614,23.247530090497897,33.353004722505595,32.32039533980135,30.59096722715522,28.438835045413388,35.78543930686409,52.19169251085746
61,MUS,Mauritius,7.451868773630575,9.051913533085088,9.006399482961355,9.234838801385395,10.879570044567798,10.650435710638943,10.14889744379952,10.69803559475577,13.348658245466043,14.902664799307525
62,MYT,Mayotte,17.46286851508777,25.008288612468775,26.053415226443633,24.250718705619036,15.282707534961958,10.489964412952615,10.727037481354722,14.238968662858486,15.188492349930675,12.910937721897177
